INPUT:text_first,INPUT:text_second,OUTPUT:result,CONFIDENCE:result,vote_type,vote_different,vote_some_details_lost,vote_OK,average,NE,POS,sentence_type_lost
"There are 10 houses available. How about 100 greenwich street, rated 4.4",There are currently ten houses available. How about 100 Greenwich Street?,some_details_lost,0.9999,14,0,4,1,2.2,lost,,
You would like 1 economy ticket on a delta airlines flight from chicago to atlanta that leaves at March 6th at 8:30 am and returning on March 8th at 3:40 pm.,You would like to get one economy ticket on a Delta Airlines flight from Chicago to Atlanta.,some_details_lost,0.9971,3,0,3,0,2,lost,verb,
1500 South Capitol Street SEXUALLY SEXUAL.,1500 South Capitol Street Southeast,different,1,13,3,1,0,1.25,corrupted,,
"Great! Can you confirm the following details, please? You are leaving New York at 7:40 am, on a bus heading for Philadelphia. The bus leaves next Tuesday. The ticket is 1 economy ticket.",i think it is great! can you confirm the following details please. You're leaving New York at 7:40 am on a bus heading to Philadelphia. the bus leaves next thursday 1 economy ticket.,some_details_lost,0.9988,3,0,3,0,2,corrupted,,
"Yes, that would be great! I want to go on the 11th of this month around 4:30 in the evening. I have a date that night that I really want to look good for!","Yes, that would be wonderful. I would like to go on the eleventh of this month around midnight. I had a date that night that I really want to look good for.",some_details_lost,0.9989,13,1,3,0,1.75,corrupted,,
"What is the start and end place of your travel plan and let know the date when you are leaving, so that I can search according to your convenient dates.","What is the start and end of your travel plan, and let me know when you are leaving.",some_details_lost,0.9987,3,0,3,0,2,lost,,
I would like the car rental to begin at half past 12 in the afternoon the 3rd of this month and end on March 8th.,i want the car rental to start at half past 12 in the afternoon and end on march 8.,some_details_lost,0.9999,12,0,2,1,2.333333333,lost,,
"Can you help me find a bus from Sacramento, CA? I don't care what type of ticket it is.",can you help me find a bus from california. I don't care what kind of ticket it is.,some_details_lost,0.9738,12,0,2,1,2.333333333,lost,,
"Which city and what type of food you are interested in like Chinese , Indian or any other thing",Which city and what type of food are you interested in?,some_details_lost,0.9999,12,0,2,1,2.333333333,lost,,
Pick up in SF tomorrow.,Pick up in California tomorrow.,some_details_lost,0.9976,3,0,3,0,2,corrupted,,
What type of ride? Regular or Pool? Are you going to 4058 18th Street A?,What type of ride would you choose? Are you referring to regular or pool? Are you going to 4058 Eightth Street A?,OK,0.996,3,0,0,3,3,ok,,
I will need 2 tickets for next Thursday.,i need 2 tickets for next week.,some_details_lost,0.9975,14,0,4,1,2.2,lost,,
You have 1 ticket.,You need one ticket.,different,0.9999,3,3,0,0,1,ok,verb,
"I have found 10 houses available. I found 1 with a 4.3 rating located at 1 Washington Circle Northwest, Washington, District of Columbia 20037, United States.","i have found 10 houses out there. 1 with a 4.3 rating at 1 Washington Circle Northwest, Washington, D.C.D.",some_details_lost,0.9658,12,1,2,0,1.666666667,lost,verb,
"Yes, I'd like that reservation.","yea, i'd like that.",some_details_lost,0.9999,14,0,4,1,2.2,lost,,
"The balance is$11,329.66 in checking account.","The balance is$1,329.66 in the checking account.",different,0.9999,12,2,1,0,1.333333333,corrupted,,
You're booked. They don't do cosmetic procedures. You can call them at 408-739-6520.,You have been booked. They do not perform cosmetic procedures. You can call them at 408-739-6000.,different,0.9999,12,1,2,0,1.666666667,corrupted,,
It is showing 1 time at 9:30 pm at LandMark's Opera Plaza Cinema.,1 time at 9:30pm at landmarks opera plaza,some_details_lost,0.9995,13,1,3,0,1.75,lost,,
"There are 9 houses available. I have one at 1100 Market Street Hotel Entrance is at, 45 McAllister Street with a 3.6 rating.",There are nine homes available. I have one at 1100 Market Street Hotel Entrance.,some_details_lost,0.9672,12,0,2,1,2.333333333,lost,,
I want to leave from Vegas on Wednesday next week.,i want to get out from vegas on friday next week.,different,0.9999,2,2,0,0,1,corrupted,,
I was able to locate 1 other nice restaurant called Hunan Empire Restaurant located in San Francisco.,i found one other nice restaurant in san francisco.,some_details_lost,0.9956,3,0,3,0,2,lost,,
"I have got 10 Doctors result and one among them is Amita Kachru, MD located in San Francisco working as a Gynecologist","I have received ten doctor's results and one of them is Amita Kachru, MD located in San Francisco.",some_details_lost,0.9745,3,0,3,0,2,lost,,
Would you like to listen to Love Lost by Mattia Cupelli from the album Reminiscence?,love lost by mattia cupelli on reminiscence,different,0.9962,13,3,1,0,1.25,ok,,
"No, I need it for the morning 11:15 on March 11th","No, I need it for the morning of March 11th.",some_details_lost,1,12,0,2,1,2.333333333,lost,,
I would be leaving on the 11th of this month leaving San Diego going to Sydney.,"I'd be leaving on the 11th of this month, san diego going to sydia.",some_details_lost,0.9999,3,0,3,0,2,corrupted,verb,
Thanks. Can you find me a round trip flight from San Fran to the event? I want to return on the 12th of March.,thanks:-) can u find me a round trip flight from san francisco? i want to come back on the 12th of march,OK,0.9984,3,0,0,3,3,ok,,
Booking a shared cab for 2 people to 2501 Winchester Boulevard. Shall I proceed?,Booking a shared taxi for two people at 2501 Winchester Boulevard. Should I proceed with my life?,different,0.9999,12,2,1,0,1.333333333,ok,verb,
I want to eat at The Grill in San Jose at 12:30.,I would like to eat at The Grill in San Jose at 11:30 pm.,different,0.9999,13,3,1,0,1.25,corrupted,,
They are 10 apartments that could work. Casa Pino Condos is a good place located at 1580 Clayton Road # 1 with 3 bedrooms and 2 bathrooms for 3550 dollars at month,There are ten apartments that could work. Casa Pino Condos is a good place.,some_details_lost,0.9999,3,0,3,0,2,lost,prep,
"Great, thanks. Can you check when I'm free Thursday next week?",thanks:) can you check when i'm free on friday next week?,OK,0.989,3,0,0,3,3,corrupted,,
"Do you prefer any type of food like Italian, Indian or anything else?","Do you prefer Italian, Indian, or anything else?",some_details_lost,0.9999,12,0,2,1,2.333333333,lost,,
"Can you please confirm that you want to buy Economy extra ticket for 4 people, for the bus which leaves from Philadelphia on March 5th at 10:10 am to go to New York?",Can you confirm that you want to buy an Economy Extra ticket for four people on March 5th at 10:10 a.m.,some_details_lost,0.9999,3,0,3,0,2,lost,verb,
"At the moment you have 3 empty slots in you calendar, one starting from 8 am to 2:30 pm.","At the moment, you have three empty slots in your calendar, one starting from 8 a.M.",some_details_lost,0.991,12,0,2,1,2.333333333,lost,prep,
I'd like checking.,i'd like to check.,OK,0.9831,12,1,0,2,2.333333333,ok,verb,
I need to look for event dates,i need to look for date dates.,some_details_lost,0.9999,12,1,2,0,1.666666667,lost,,
"Yes it does, fortunately.","Yes, it does.",OK,0.9969,2,0,0,2,3,ok,,
"Okay, that's perfect. I'd like to go ahead and make a reservation. Can you book a room for me next Wednesday? I'd like to stay until the 4th.",That is perfect. I would like to make a reservation. Can you book a room for me next week? I would like to stay until the fourth of July.,some_details_lost,0.9904,14,0,4,1,2.2,corrupted,prep,
Would you want to see this Museum called the Benjamin Franklin Museum?,do you want to see this museum called the benifer franklin muht?,different,0.9999,3,3,0,0,1,corrupted,,
"Okay, that sounds like a good choice.",That sounds like a good decision.,OK,0.9999,12,1,0,2,2.333333333,ok,prep,
I'd like to leave next Monday from SF.,I would like to leave next Monday from California.,some_details_lost,0.9946,3,0,3,0,2,corrupted,,
In which city would you like?,What city would you like?,OK,0.987,12,1,0,2,2.333333333,ok,prep,
"I made a mistake, I'll return the car on the 8th of this month. I'll pick it up in Philly.",I made a mistake and will return the car on the 8th of this month. I will pick it up in Philadelphia.,OK,0.9999,13,1,0,3,2.5,corrupted,,
I am looking for a unisex salon in SFO.,I am looking for a non-isex salon in San Francisco.,different,0.9999,3,3,0,0,1,ok,adj,
Your successful reservation will cost$504.,Your successful reservation will cost five dollars.,different,0.9999,12,1,2,0,1.666666667,corrupted,,
I'm looking for a full-size car in the Sacramento area.,i'm looking for a full size car in the california area,some_details_lost,0.9999,12,1,2,0,1.666666667,corrupted,,
"I'd like to leave next Tuesday. I'm going from Sacramento, CA to San Fran.","I would like to leave next Monday. I am going from Sacramento, California to San Fran.",some_details_lost,0.986,3,0,3,0,2,corrupted,,
"Okay, so the flight's from Philadelphia with 2 passengers.",ok so the flight is from philippine with 2 passengers,different,0.9999,12,1,2,0,1.666666667,corrupted,,
Is a transfer in order?,Is a transfer required?,some_details_lost,1,12,1,2,0,1.666666667,ok,verb,
Can you please confirm that you want to add in your calendar the event called dentist appointment which is for March 4th at 3:15 pm in 535 Pierce Street.,if you want to add in your calendar it's called dentist appointment for march 4th at 3:15 pm in 535 Pierce St.,OK,0.9999,12,0,2,1,2.333333333,ok,,imperative
I'll need it on the 3rd around 4:30 in the evening. I'll drop it off on March 5th.,I will need it on the 3rd around around the evening. I will remove it on March 5th.,some_details_lost,0.998,3,0,3,0,2,lost,verb,
How about canopy by hilton portland pearl district? It has a rating of 4.7,"How about""Canvason"" by Hilton Portland Pearl District? It has a rating of 7.",some_details_lost,0.9586,12,1,2,0,1.666666667,corrupted,,
"Dr. Ruth E. Hoddinott, MD is a general practitioner in daly city",Dr. Ruth E. Hodddinott is a general practitioner in Dallas City.,different,0.9999,12,2,0,1,1.666666667,corrupted,,
Oh Red Joan is okay for me. Can you find me a restaurant there.,oh red jennifer is okay for me. can u find a restaurant there?,different,0.9973,12,2,1,0,1.333333333,corrupted,,
Please confirm to book a table for 2 at Red Jade in San Francisco on March 2nd for the time 4:45 pm.,Please confirm that you would like to book a table for two at Red Jade in San Francisco on March 2nd.,some_details_lost,0.974,12,0,2,1,2.333333333,lost,,
I found 9 attractions. The DISCOVERY Children's Museum in an interesting museum.,I have found nine attractions. The Disney Children's Museum is an interesting museum.,some_details_lost,0.9999,12,0,2,1,2.333333333,corrupted,,
That is perfect. Proceed with reservation.,That's perfect. Proceed with caution.,different,0.9999,3,3,0,0,1,ok,adj,
The game is at Oakland-Alameda County Coliseum and starts promptly at 6 pm. Your ticket purchase was successful. Enjoy the game.,the game is at ohio-alameda county coliseum and starts promptly at 6 pm u got your ticket bought and it worked. enjoy the game.,different,0.9999,12,2,0,1,1.666666667,corrupted,,
I have for you 1 flight with Southwest Airlines.The outbound flight leaves at 4:20 am and return leaves at 1:30 pm.The total cost would be $296.,I have for you one flight with Southwest Airlines. The outbound flight leaves at 4:00 p.m. and the return leaves at 1:30 pm.,different,0.9999,13,3,1,0,1.25,corrupted,,
There are 10 hotels nearby. Ac Hotel By Marriott Paris Porte Maillot is a 4 star hotel that might work.,there are 10 hotels around. a hotel by martin paris porte maillot might work.,some_details_lost,0.974,13,0,3,1,2.25,lost,,
It should be in Campbell.,The movie should be in Campbell.,some_details_lost,0.9999,12,1,2,0,1.666666667,corrupted,,
I'd like to leave next Wednesday.,I would like to leave next Tuesday.,different,0.9999,13,3,1,0,1.25,corrupted,,
Where will you pick it up from?,Where will you find it?,some_details_lost,0.9999,12,1,2,0,1.666666667,ok,verb,
Which date are you checking out?,Which date are you looking for?,different,0.9999,3,3,0,0,1,ok,verb,
Okay sure. Please confirm that you'd like a table for 4 at Locanda Positano in LAfayette from 7:15 pm on March 1st.,I agree. Please confirm that you would like to have a table for four at Locanda Positano in Lafayette on March 1st.,some_details_lost,0.9999,14,0,4,1,2.2,lost,prep,
Please confirm: You want a table for 2 at Shree Indian Cuisine in Petaluma at 6:30 pm on March 2nd.,Please confirm that you would like to have a table for two at Shree Indian Cuisine in Petaluma on March 2nd.,OK,0.9999,3,0,0,3,3,lost,,
Please confirm to book an appointment with the salon at Best Coast Cuts for the time 5:30 pm on March 8th.,Please confirm that you would like to book an appointment with the salon at Best Coast Cuts on March 8th.,some_details_lost,0.9999,12,0,2,1,2.333333333,lost,,
"Booking 2 rooms at radisson blu edwardian, kenilworth in London. The check in date is march 3rd and checkout is march 6th","Booking two rooms at Radisson Blu, Edwardian, Kenilworth in London. The check-in date is March 3rd and the check-in date is March 6th.",some_details_lost,1,3,0,3,0,2,corrupted,prep,
I need to book a car,I need to purchase a car.,different,1,12,2,1,0,1.333333333,ok,verb,
Search revealed 10 songs. Do you like Adorn by Miguel on the Kaleidoscope Dream album?,Searched for ten songs. Do you enjoy the song Adorn by Miguel on the Kaleidoscope Dream album?,some_details_lost,0.9999,12,0,2,1,2.333333333,ok,verb,
I need to leave on the 8th from Seattle and return on the 14th.,I need to leave on the eighth from Seattle and return on the fourteenth.,OK,0.9999,3,0,0,3,3,ok,,
I am going to SD on march 14th.,I am going to SD on March fourteenth.,OK,0.9991,3,0,0,3,3,ok,,
"There is no availability for that time. There's a ticket available at 8:30 am, it costs $26",There is no availability at that time. There is a ticket available at 8:30 am.,some_details_lost,0.9747,3,0,3,0,2,lost,,
+1 206-957-1000,Phone number is 206-957-1000.,some_details_lost,0.9873,14,0,4,1,2.2,lost,,
"I'll be eating in SF. I love Japanese, that would be great.",I will be eating in California. I love Japanese. That would be great.,some_details_lost,0.9999,12,0,2,1,2.333333333,corrupted,,
What date are you referring to?,What date are you checking in?,different,0.9999,12,2,1,0,1.333333333,ok,verb,
What kind of movie interests you?,what kind of movie is that?,different,0.9999,12,2,1,0,1.333333333,ok,verb,
"On March 9th, 11:00 am at the Atelier Salon Willow Glen.",10:30 am at Atelier Salon Willow Glen on March 9th?,some_details_lost,1,12,0,2,1,2.333333333,corrupted,,
"Yes, it's furnished. You can reach them at 925-937-1324.",It is furnished. You can reach them at 925-937-2324.,some_details_lost,0.9701,12,0,2,1,2.333333333,corrupted,,
Please find me a refundable tickets that is traveling from las vegas to san diego on economy flight on the 14th,Please find me a refundable ticket that is traveling from Las Vegas to San Diego on economy flight on the fourteenth.,OK,0.9999,5,0,0,5,3,ok,,
I'd be flying out from SF.,I would be flying out from California.,different,0.9999,12,2,0,1,1.666666667,corrupted,,
"There's another bus departing at 8 am with 0 transfers, it's $26.",There is another bus departing at 8 am with no transfers.,some_details_lost,0.9973,14,0,4,1,2.2,lost,,
I found 10 hotels. What about Best Western of Long Beach? It is rated 3.9.,I have found ten hotels. What is the best Western of Long Beach? The rating is 3.9.,OK,0.9999,12,1,0,2,2.333333333,ok,verb,
There's 24 percent chance of rain on that day. The average temperature is 83 degrees.,There is a 24 percent chance of rain on the day. The average temperature is eighteen degrees.,some_details_lost,0.9999,12,0,2,1,2.333333333,corrupted,,
There is 1 restaurant I have found which is nice called Kaya Restaurant in San Francisco.,I have found a restaurant in San Francisco that is nice.,some_details_lost,0.9986,13,0,3,1,2.25,lost,,
"I'd love to fly with British Airways, but I'm afraid I wont have the time for 9:15 am in the morning and I'm low on cash to pay $188. I have 0 ideas left so tell me the 2 out of your 3 flights.","I would love to fly with British Airways, but I am afraid I will not have the time for 9:15 a.m. I have no ideas left, so tell me the two out of your three flights.",some_details_lost,0.9999,12,0,2,1,2.333333333,lost,,
Thank you! I also wanted to ask about the attractions there. Can you also find me a Museum?,Thank you for your efforts. I also wanted to inquire about the attractions there. Can you find me at the museum?,different,0.9999,2,2,0,0,1,ok,,
i want some noodles and search in california,"I want some Noodles, and search in Berkeley.",some_details_lost,0.9999,13,1,3,0,1.75,corrupted,,
I'll be picking up in LA at 10:30 in the morning and will need it until the 11th of March.,I will be picking up in Los Angeles on the 11th of March.,different,0.9985,14,1,4,0,1.8,lost,,
1518 hill valley apartments it has 1 bedroom and 3 baths,Hill valley Apartments located at 1518 Hill Road is a good one.It has 1 bedrooms and 3 baths.Rent goes for 4950 dollars.,some_details_lost,0.9999,13,0,3,1,2.25,lost,,
Please confirm: renting a standard car from Hartsfield-Jackson International Airport on March 11th at 3 pm. You'll return it on March 14th,Please confirm that renting a standard car from Hartsfield-Jackson International Airport on March 11th at 3 PM is the best option. You will return it on March fourteenth.,OK,0.9985,3,0,0,3,3,ok,,
"Great, let's get that.",Let's get to know that.,different,0.9999,12,2,0,1,1.666666667,ok,verb,
"To confirm, visit at Apricot Pit Apartments on march 5th.","to confirm, go to april pit apartments on march 5th.",some_details_lost,0.9999,3,0,3,0,2,corrupted,,
Need any other assistance?,Is there any other assistance?,some_details_lost,1,12,2,1,0,1.333333333,ok,verb,
What time is first pitch?,how long is first pitch?,different,0.9962,13,3,1,0,1.25,ok,prep,
Confirming a pool ride for 2 to 565 University Avenue.,2 to 565 U.S.A.,different,0.9999,12,2,1,0,1.333333333,lost,,declarative
That's great. Make an appointment at 11:15 on Tuesday next week,That is wonderful. Make an appointment at 11:15 on Monday next week.,some_details_lost,0.9571,13,1,3,0,1.75,corrupted,,
there's a general practitioner in fremont named cheney tamara md.,There is a general practitioner in Florida named Cheney Tamara.,some_details_lost,0.9691,12,0,2,1,2.333333333,corrupted,,
An event I can recommend is Alejandro Sanz which will happen at Cal Coast Credit Union Amphitheater.,alejandro sanz at calcoco credit union amphitheater,some_details_lost,0.9956,13,1,3,0,1.75,lost,,
"Going with four people, I am leaving from KL and traveling to Premium Economy on 10th of this month to Seattle.",I am leaving from KL and going to Premium Economy on the 10th of this month to Seattle.,OK,0.9999,3,0,0,3,3,lost,,
I want to find an expensive barbecue restaurant.,I want to find a cheap BBQ restaurant.,different,0.9999,13,3,1,0,1.25,ok,adj,
Fine. Search for a restaurant there. I love Malaysian cuisine and I can afford intermediate priced food.,i think it's fine! look for a restaurant there. i love malaysia and i can afford it.,different,0.963,12,2,1,0,1.333333333,corrupted,,
What's the city?,What is the city like?,OK,0.9886,12,1,0,2,2.333333333,ok,verb,
What time? Is location at 2380 Sutter Street? Name to use for event?,"what time is that? 2380 Sutter Street, Is it at 2380? name to use for a thing?",different,0.9999,2,2,0,0,1,ok,verb,
Search revealed 10 results. 1512 Barber Shop is located in San Francisco.,Searched for ten results. The address of 1512 Barber Shop is located in San Francisco.,some_details_lost,0.9999,12,0,2,1,2.333333333,ok,verb,
"it's been booked. the number for the dentist is 408-316-8226. no, they don't offer cosmetic services, sorry.","It is booked. No, they do not offer cosmetic services.",some_details_lost,0.9931,3,0,3,0,2,lost,,
I'll need it from the 11th until the 14th of this month and I want to do a pick up around one in the afternoon.,"I will need it from the eleventh until the fourteenth of this month, and I want to pick up around one in the afternoon.",OK,0.9999,3,0,0,3,3,ok,,
Actually check in date is on day after tomorrow and check out is on March 14th.,Check in date is on the day after tomorrow and check out on March fourteenth.,OK,0.9999,3,0,0,3,3,ok,,
Reservation is confirmed. Hope you enjoy over there! and the venue is at 123-01 Roosevelt Avenue.,"Reservations are confirmed. I hope that you enjoy yourself. The venue is located at 123, Roosevelt Avenue.",different,0.9999,12,0,2,1,2.333333333,corrupted,,
The cost is$32.17,The cost is$3.17.,different,0.9999,12,1,2,0,1.666666667,corrupted,,
3 are available for you.One is starting at 6:30 pm on March 14th at Pier 17.The name of event is Ben Harper.,"3 are available for you, one starts at 6:30 pm on march 14th at pier 17.",some_details_lost,0.9999,14,0,4,1,2.2,lost,,
1:31 am leaves jfk international airport,I am leaving JFK International Airport.,some_details_lost,0.9999,3,0,3,0,2,lost,,
202-393-7798,The phone number is 202-393-7798.,some_details_lost,0.9999,3,0,3,0,2,lost,,
please confirm you want to watch Stockholm with subtitles,if you want to watch sweden with subtitles please confirm that.,different,0.9999,12,1,2,0,1.666666667,corrupted,,
What will that run me?,What will happen to me?,different,0.9999,3,3,0,0,1,ok,verb,
"Well, which date are you looking to go?",What date are you looking for?,some_details_lost,0.9524,12,1,2,0,1.666666667,ok,verb,
I am going to Vegas on the 3rd of this month and hope to get back on the 14th. I prefer American Airlines,"I am going to Vegas on the 3rd of this month and hope to get back on the fourteenth. I prefer American Airlines, but I prefer American Airlines.",OK,0.9999,3,0,0,3,3,ok,,
I need at around afternoon 3:30 until 9th of this month.,I need to arrive at around 3:30pm on the 9th of this month.,different,0.9919,12,2,1,0,1.333333333,corrupted,verb,
It is at 881 7th Avenue,"881 7th Avenue, it's at 881",OK,1,12,1,0,2,2.333333333,ok,,
what the hell should i look for?,What area should I search for attractions in?,different,0.9999,13,3,1,0,1.25,corrupted,,
"I'd like to go to LAX airport on the 14th. I will be departing from Fresno, CA.","I would like to go to LAX Airport on the fourteenth. I will be departing from Fresno, California.",OK,1,3,0,0,3,3,ok,,
What else do you have?,What else can you do?,different,1,3,3,0,0,1,ok,verb,
Where are you going to go? Where will you be departing from?,Where will you go? Where will you be leaving?,OK,0.9999,12,1,0,2,2.333333333,ok,verb,
I am departing on the 14th of this month from Paris. I am going to Philadelphia.,"I am departing on the fourteenth of this month from Paris. I am going to Philadelphia, where I will be attending.",some_details_lost,0.9597,12,0,2,1,2.333333333,ok,verb,
Alright thanks I'd like to go see a movie nearby on that day as well.,ok thanks i wanna go see a movie there too.,some_details_lost,0.9523,13,0,3,1,2.25,ok,adv,
"I will be in New York on the 2nd of March, so I would like tickets for an event.",I'm in New York on the 2nd of march so i wanna get tickets,some_details_lost,0.9999,3,0,3,0,2,ok,aux,
What about your current location from which you want to search the bus and let me know the number of tickets required by you.,what about where u wanna search the bus and let me know how many tickets you need.,some_details_lost,0.9834,12,0,2,1,2.333333333,corrupted,,
I want to rent it on march 7th till the 8th of March. I need to pick it up at afternoon 12:45.,i want to rent it on march 7 till the 8th of march i need to pick it up at noon 12:45,OK,0.9999,3,0,0,3,3,ok,,
Check for me please the weather in Nairobi on March 14th,Please check for the weather in Nairobi on March fourteenth.,OK,0.9999,3,0,0,3,3,ok,,
"Yeah, that sounds wonderful. I'd like to pick up the vehicle around 3:30 pm.","Yes, that sounds great. I would like to pick up the vehicle around 3 p.m.",some_details_lost,0.9785,3,0,3,0,2,corrupted,,
I want to a watch a regular showing of Ash Is Purest White. What times is it playing. And I want to watch it in SF.,I would like to watch a regular show of Ash Is Purest White. What times are you playing? I would like to watch it in San Francisco.,some_details_lost,0.9999,12,1,2,0,1.666666667,ok,pronoun,
There are 10 such activities. There is a huskies vs cougars game at husky stadium.,There are ten such activities available. There is a game between Huskies and Cougars at the stadium.,some_details_lost,0.9999,12,0,2,1,2.333333333,corrupted,,
Could you find me something child friendly for free in SF?,Could you find me something child friendly in San Francisco?,OK,1,3,0,0,3,3,ok,,
I'm leaving on the 14th. I'd like to travel in Premium Economy.,I am leaving on the fourteenth. I would like to travel in the premium economy.,OK,0.9793,3,0,0,3,3,ok,,
"Im leaving from Phoenix to Atlanta, GA on 9th of this month.","I am leaving Phoenix, GA on the 9th of this month.",some_details_lost,0.9994,14,0,4,1,2.2,lost,prep,
2 people at ikaros Greek restaurant in ohio at 5:30pm on march 1st,Please confirm your reservation for 2 people at Ikaros Greek Restaurant in Oakland at 5:30 pm on March 1st.,some_details_lost,0.9926,13,0,3,1,2.25,corrupted,,imperative
autry museum of the american west museum,The Autry Museum of the American West museum is an example.,some_details_lost,0.9898,12,0,2,1,2.333333333,lost,,
How would you like the Giants Vs Cardinals at Oracle Park starting at 7:30 pm on next Thursday?,How would you like the Giants versus the Cardinals at Oracle Park?,some_details_lost,0.9916,3,0,3,0,2,lost,verb,
The reaching station is Union Plaza.,Union Plaza is the nearest station.,OK,0.9999,12,1,0,2,2.333333333,ok,adj,
When are you planning to fly?,When are you planning to go on a date?,different,0.9974,14,4,1,0,1.2,ok,verb,
"Please confirm your appointment is at 11:30 am March 12th with Anne Han, M.D.",Please confirm that your appointment will be at 11:30 a.M.D.,some_details_lost,0.9643,12,0,2,1,2.333333333,lost,,
"OKay, see you.",You should see you.,different,1,3,3,0,0,1,ok,verb,
I have 2 dentists. What do you think of Gerald E. Dixon Scott E. Dixon in Sebastopol?,I have two dentists who treat me well. What do you think of Gerald E. Dixon in Sebastopol?,OK,0.9999,3,0,0,3,3,ok,,
I'm looking for something to do. Preferably a rock event in New York. I need something on March 14th.,I am searching for something to do. I would prefer a rock event in New York. I need something on March fourteenth.,OK,0.9999,3,0,0,3,3,ok,,
Where would you like to go to these events?,where do you want to go to these things?,different,0.9999,12,2,0,1,1.666666667,corrupted,,
I would prefer Flexible tickets that leave about afternoon 3:15.,I would prefer flexible tickets that leave around the hour of noon.,some_details_lost,0.9999,3,0,3,0,2,corrupted,,
WHats your interested event?,What is your interest in this event?,different,1,3,3,0,0,1,ok,adj,
Your tickets have been purchased.,You have purchased your tickets.,OK,0.9999,12,1,0,2,2.333333333,ok,voice,
I will be in New York City on March 12th. I have no clue what to do with my time. Find me something to amuse me.,i'm in new york city on march 12! I don't know what to do with my time. find me something to make me laugh.,OK,0.9999,12,1,0,2,2.333333333,ok,verb,
Would you like to book a table.,Would you like to reserve a ticket with table?,different,1,3,3,0,0,1,corrupted,,
Please can you look for March 4th?,u can look for mary 4th?,different,0.9999,12,2,0,1,1.666666667,lost,,
I want to find a doctor.,I would like to see a doctor.,OK,0.9999,12,1,0,2,2.333333333,ok,verb,
how many days would you like to tay,How many days would you like to go on a date?,different,0.9999,12,2,1,0,1.333333333,ok,verb,
What about in Philadelphia on the March 10th.,what about in philippines on march 10th?,some_details_lost,0.9988,3,0,3,0,2,corrupted,,
Would you like to reserve a table now?,do you want to get a table now?,some_details_lost,0.9789,12,0,2,1,2.333333333,ok,verb,
The cab is on it's way it should take around 13 minutes and the cost is $18.70.,the cab should take like 13 mins.,some_details_lost,0.9999,4,0,4,0,2,lost,,
March 14th during morning 10:30,"March 14th, during the morning.",some_details_lost,0.9533,3,0,3,0,2,lost,,
Anything else? I want t watch some comic movies directed by Morton DaCosta.,anything else. i want to watch some comic movies by moron dacosta.,OK,0.9999,12,1,0,2,2.333333333,corrupted,,
There is an event name Mets Vs Braves and it is at Citi Field.,Mets Vs Braves- Citi Field,different,0.9999,12,1,0,2,2.333333333,lost,,
"Okay, you want 3 Economy seat at American Airlines goint to Delhi from Los Angeles on March 3rd until March 14th with an outbound flight leaves at 6:30 am and return flight leaves at 7 pm. Please confirm.",You want 3 Economy Seats at American Airlines going to Los Angeles on March 3rd until March 14th. Please confirm that you are correct.,some_details_lost,0.969,12,0,2,1,2.333333333,lost,,
Thank you! Right now I'd like to watch a comedy film on line. Something directed by Chris Butler.,thanks for ya. right now i wanna watch a comedy movie on line. something by chris barton,some_details_lost,0.9999,12,0,2,1,2.333333333,corrupted,,
Okay! do you wish to travel in the bus leaving at 8 am for there is a Economy ticket that would cost $35.,"Okay, okay! Do you want to travel in the bus leaving at 8 o'clock for an economy ticket?",some_details_lost,0.9927,12,0,2,1,2.333333333,lost,,
USC vs ORLANDO AT LAX,USC vs Oregon at LAX.,some_details_lost,0.9937,13,1,3,0,1.75,corrupted,,
Please confirm you would like to watch the movie Stockholm with subtitles.,"if you want to watch the movie sweden with subtitles, please tell me.",different,0.9783,3,3,0,0,1,corrupted,,
How about the one like 1 Hotel Central Park with 5 star which is the best I think from the 9 results I searched.,"How about the one I searched for,""Hotel Central Park"" with five stars?",some_details_lost,0.9999,12,0,2,1,2.333333333,lost,,
There is one event name is Whitecaps Vs Colorado Rapids which is going to happen at BC place on next friday at 7:30 pm,one thing is whitecaps vs colombia rapids next friday at 7 pm BC,different,0.9508,12,2,1,0,1.333333333,lost,,
4 pm at AMC NewPark 12.,There is 1 showtime for the movie at 4 pm at AMC NewPark 12.,some_details_lost,0.9999,3,0,3,0,2,lost,,
"i'm going to california, from long beach.","I'm heading to Sacramento, CA from Long Beach.",some_details_lost,0.9963,3,0,3,0,2,lost,,
"Can you please confirm thta you want a compact class Cooper available for pick up from Fresno Station on March 8th, due for drop off on March 9th at 6 pm.",if you wanna pick up a compact class cos fresno station on march 8th at 6pm,different,0.9999,12,2,1,0,1.333333333,lost,,
Alright. I've booked your appointment. The rating for this dermatologist is 4.7.,"Okay, alright. I have scheduled your appointment. The rating for this dermatologist is 4.",some_details_lost,0.9987,13,0,3,1,2.25,corrupted,,
I will be leaving Fresno on the 14th. I am heading to LAX.,I will be leaving Fresno on the fourteenth. I am going to Los Angeles.,OK,0.9814,3,0,0,3,3,ok,,
Can you confirm these details before I buy? 4 economy tickets for the 7 am bus on March 10th that leaves from Los Angeles and arrives in Anaheim.,"Can you confirm these details before I purchase them? There are four tickets for the 7 am bus on March 10th, which leaves Los Angeles and arrives in Anaheim.",OK,0.9831,3,0,0,3,3,ok,,
I'd like to book tickets.,I would like to purchase tickets.,OK,0.9999,12,1,0,2,2.333333333,ok,verb,
