INPUT:text_first,INPUT:text_second,OUTPUT:result,CONFIDENCE:result,vote_type,vote_different,vote_some_details_lost,vote_OK,average
Yey! Thank you so much.,yea! thanks a lot.,OK,0.9999,3,0,0,3,3
The time for the pick up is quarter to 1 in the afternoon.,The time for the pick up is between one and one in the afternoon.,some_details_lost,0.9984,3,0,3,0,2
There is a 7% rain chance and the temperature will be 75 degrees,7% rain chance and 75 degrees.,OK,0.997,2,0,0,2,3
American Airlines has an outbound flight with 1 stop that departs at 4:30 am with a ticket price of $401.,American Airlines has an outbound flight with one stop departing at 4:30 a.m.,some_details_lost,0.9945,2,0,2,0,2
I want to leave on the 4th and return on March 12th on Delta Airlines economy. I will be leaving from Los Angeles.,i want to leave on the 4th and come back on march 12 on delta airlines i'm leaving from los angeles!,OK,0.9756,3,0,0,3,3
Please confirm that you will be picking up a standard car from BART Station on March 1st at 2 pm. You will be returning the vehicle on March 2nd.,u will be picking up a standard car from BART station on march 1st at 2 pm. you'll be back in the car on march 2nd.,OK,0.9932,3,0,0,3,3
Your successful reservation will cost$504.,Your successful reservation will cost five dollars.,different,0.9999,12,1,2,0,1.666666667
I'm going on a quick road trip to see a friend and need to get a bus. Can you find me Economy extra tickets out of SD?,"I am going on a quick road trip to see a friend, and need to get a bus. Is it possible to find me Economy tickets out of SD?",OK,0.9962,3,0,0,3,3
"I am leaving from SFO on the 12th. The destiny is Long Beach, CA.","I'm leaving SFO on the 12th. the destiny is long beach, california",OK,0.9968,3,0,0,3,3
"Yes, I am looking for the Giants vs Marlins game happening in San Fran. What's available on the 2nd of this month?",yea im looking for the Giants vs Marlins game in san francisco whats up on the 2nd of this month.,OK,0.9999,12,0,1,2,2.666666667
They have moderate prices and your booking is successful.,They have moderate prices and you are successful in booking.,OK,0.9999,12,0,1,2,2.666666667
"I want to leave on 1st of this month from Sacramento, to arrive to Anaheim, CA.","i want to leave on 1st of this month from california to go to anaheim, CA",some_details_lost,0.9978,12,1,2,0,1.666666667
SAN international airport,SAN INTERNATIONAL AMERICA IS THE ONLY AIRPORT.,different,0.9915,12,1,2,0,1.666666667
Certainly. Which city would work best?,definately:) which city would be best?,OK,0.9999,3,0,0,3,3
I'd like to visit a museum in Philly.,I would enjoy visiting a museum in Philadelphia.,OK,0.9999,12,1,0,2,2.333333333
I have 8 hotels that you may like. The Banana Bungalow- Hollywood Hostel has a 4.1 rating.,"I have eight hotels that you may enjoy. The movie ""The Banana Bungalow"" by Hollywood Hostel has a rating of four.",different,0.9938,12,1,2,0,1.666666667
When did you want to watch it?,when did u wanna watch it?,OK,0.9922,2,0,0,2,3
Do you have any other options? I wish to book 1 room.,Do you have any other alternatives? I would like to book one room.,OK,0.9824,3,0,0,3,3
"No, and thank you.",no and thanks,OK,0.9824,3,0,0,3,3
Searched and found an outbound flight from Delta Airlines which leaves at 9:45 pm with 0 stops for which the price of the ticket is $110. Hope this will suit you.,searched and found an outbound flight from delta airlines at 9:45 pm with no stops. Hope this works for you.,some_details_lost,0.9868,12,0,2,1,2.333333333
The ride is booked and is on its way. The ride is about 8 minutes.,"The ride is booked, and it is on its way. The ride takes approximately eight minutes.",OK,1,3,0,0,3,3
"Please confirm, updating calendar with Apartment visit event to 1000 Kiely Boulevard on March 13th at 12:30 pm. Is this correct?","Please confirm, updating the calendar with an apartment visit on March 13th at 12:30 pm. Is that correct?",some_details_lost,0.97,13,0,3,1,2.25
How many people will be traveling?,how many people will be going?,OK,0.9999,13,0,1,3,2.75
"I'll fix the number, confirm again please. I'll buy 1 ticket for the event dated march 1st",I will fix the number and confirm it again. I will purchase one ticket for the event on March 1st.,OK,0.9999,3,0,0,3,3
To confirm: You wish to purchase 1 economy bus ticket leaving Anaheim on March 10th at 6:10 am heading to Los Angeles. Is this correct?,to confirm u want 1 economy bus ticket leaving anaheim on march 10 at 6:10 am going to los angeles Is it right?,OK,0.9999,3,0,0,3,3
Your one way ticket has been booked. The destination of the flight will be Indira Gandhi International AIrport and the flight will be departing from LAX International Airport.,Your one way ticket has been cancelled. The destination of the flight will be Indira Gandhi International Airport.,different,0.9999,12,1,2,0,1.666666667
I need the car from next Wednesday and until Thursday next week?,i need the car from next wednesday and till friday?,some_details_lost,0.9993,12,1,2,0,1.666666667
Sorry the reservation was unsuccessful.Price range is moderate and they dont serve alcohol.Andy & Yu's is a nice place shall I try to meke a reservation for 4 person today at 12:30 pm?,"Sorry the reservation didn't work out, but price range is moderate and they don't drink alcohol.",some_details_lost,0.9999,13,1,3,0,1.75
The street address is 1414 6th Avenue and their phone number is+1 212-703-2001.,1414 6th Ave+1212-703-2001,some_details_lost,0.9999,12,1,2,0,1.666666667
I'm meeting a friend later to go out to eat. Can you help me find a restaurant that serves Latin American food around Oakland?,I'm meeting a friend later to go out and eat. can you help me find a place that serves Latin American food around ohio?,some_details_lost,0.9939,3,0,3,0,2
"Yes, correct.","yea, right.",OK,0.9783,3,0,0,3,3
"at 2 o""clock in the afternoon.",It is at 2 o'clock in the morning.,different,0.9937,12,1,2,0,1.666666667
I need to leave on 6th of March and returning back on 9th of this month and search for Economy class tickets for me,I need to leave on 6th of march and go back on 9th of jan.,some_details_lost,0.9578,3,0,3,0,2
"Would you like to watch Ash Is Purest White, Body Double or Captain Marvel?","u wanna watch ash is purest white, body double or captain marvel",OK,0.9943,3,0,0,3,3
"What type of ride would you like? Pool, Luxury, or something else? Also, how many seats do you need?","What kind of ride would you enjoy? Is it pool, luxury, or something else? Also, how many seats do you require?",OK,0.9861,3,0,0,3,3
"No, I do not want to have tickets bought for this movie now. I am also interested to find a restaurant there.",no i don't want to buy tickets for this movie now. i'm also interested in finding a restaurant there.,OK,0.9905,3,0,0,3,3
I would like to find some interesting music events. I really like hip hop. Can you help me?,I would like to locate some interesting music events. I really enjoy hip hop music. Can you assist me?,OK,0.9771,3,0,0,3,3
I will be going to the salon on the 7th. It's called Shampoo Dolls and I would like the appointment at half past 3 in the afternoon.,i'm going to the salon on the 7th it's called shampoo dolls and i wanna have it at half past 3 in the afternoon.,OK,0.9905,3,0,0,3,3
any other help you need?,Do you need any other assistance?,OK,0.9909,3,0,0,3,3
Khamsa is also located in San Francisco.,kamsa is also in san francisco,OK,0.9999,12,1,0,2,2.333333333
What about your current location from which you want to search the bus and let me know the number of tickets required by you.,what about where u wanna search the bus and let me know how many tickets you need.,some_details_lost,0.9834,12,0,2,1,2.333333333
"Alright, please confirm we are ordering a Pool ride for 1. Your destination is 56 Signers of the Declaration of Independence Memorial. Is this correct?","ok, please confirm we're ordering a pool ride for 1. 56 signers of the Declaration of Independence Memorial Is it right?",OK,0.9991,3,0,0,3,3
"That suits me well. I want to have a Compact car, which I will pick up on 4th of March.",That is a good choice. I would like to have a compact car that I will pick up on the fourth of March.,OK,0.9991,3,0,0,3,3
That is nice. I wish to book the hotel reservation. The check out date is 14th of March.,That's nice. I would like to book the hotel reservation. The check out date is on the fourteenth of March.,OK,0.9932,12,0,1,2,2.666666667
"Okay, I have a reservation at Buon Appetito in Hayward for 1:30 pm on March 11th for 2 people, is this correct?","I have a reservation at Buon Appetito in Hayward on March 11th, for two people.",some_details_lost,0.9994,3,0,3,0,2
"Reservation was successful. The event will start at 6 pm, at 123-01 Roosevelt Avenue.",Reservation worked out. 123-01 Roosevelt Ave.,some_details_lost,0.993,2,0,2,0,2
I assume you want it on March 9th. At what time will you pick it up and on what date will you be returning it?,I suppose you would like it on March 9th. When will you pick it up and on what date will you be returning it?,OK,0.9994,2,0,0,2,3
Please confirm check in on March 2nd and check-out March 9th for 1 room at Best Western Mission Bay in San Diego.,check in on march 2nd and check out march 9th at best western mission bay in san diego.,some_details_lost,0.993,2,0,2,0,2
Well I need to leave on the 5th. I'll be coming back on the 13th of March. I'm leaving out of SFO and I'm not particular about the airline.,well i need to leave on the 5th i'm coming back on the 13th of march. i'm leaving out of sfo and i don't know what the airline is.,OK,0.9994,2,0,0,2,3
"That suits me well. Could you please tell me the time when the event will start, and the location of the venue of the event?",i think thats what I like. can you tell me when it starts and where the event is?,OK,0.9985,3,0,0,3,3
Its 1 citizens bank way,It is one citizen's bank account.,OK,0.9739,12,0,1,2,2.666666667
I want to search for an apartment. Can you search the nice one for me? Please search it with 1 bath.,I would like to search for a apartment. Can you find the nice one for me? Please search with one bath.,OK,0.9999,3,0,0,3,3
"I need it from the 6th around half past 1 in the afternoon, till the 11th. I want to pick it up from Philadelphia",I need it from the sixth around half past one in the afternoon until the eleventh. I would like to pick up it from Philadelphia.,OK,0.9999,12,0,1,2,2.666666667
Please confirm you want to make a reservation at 11:30 am today for 2 people at A Bellagio Italian Restaurant in Campbell.,Please confirm that you would like to make a reservation at 11:30 am.,some_details_lost,0.9582,12,1,2,0,1.666666667
Yes that's OK,yeah thats ok.,OK,0.9999,3,0,0,3,3
I'm traveling from NY to Chi-town on the 9th of March.,I am going from New York to Chi-town on the 9th of March.,OK,0.9999,3,0,0,3,3
I am traveling economy class from Las Vegas from March 5th till Friday next week.,i'm going to las vegas from march 5 till friday next week,OK,0.9999,12,0,2,1,2.333333333
You can name it Baseball game. It will be at 1500 South Capitol Street Southeast. Time: evening 7:30.,"You can name the baseball game. It will be located at 1500 South Capitol Street, Southeast. The time is 7:30 pm on the evening.",OK,1,3,0,0,3,3
I have successfully booked your table at that time.,I have booked your table at that time.,OK,1,3,0,0,3,3
They allow pets. Their number is 925-847-8844.,They allow pets to be allowed. Their telephone number is 925-847-8844.,OK,0.9999,12,0,1,2,2.666666667
Can you check whether the price range is bargain type there? and also let me know their contact number for my reference.,"Can you check if the price range is bargain type? Also, please let me know their contact number for reference.",OK,0.9945,3,0,0,3,3
"Sure. To confirm, you want to book 1 Economy Extra ticket from Portland to Vancouver on March 10th at 6:50 am.","Yes, yes. To confirm, you would like to book one Economy Extra ticket from Portland to Vancouver on March 10th at 6:50 AM.",OK,0.9997,3,0,0,3,3
"I found you one departing at 6 am for$50, economy class",I found you one departing at 6 am for fifty dollars.,some_details_lost,0.9994,3,0,3,0,2
Are you picking it up in Fresno? What time do you need it and how long will you be renting it?,are you picking it up in freno? what time do u need it and how long are you renting it?,OK,0.9983,3,0,0,3,3
You would like an economy ticket for 1 on a delta airlines flight from vancouver to new york that leaves on march 5th at 12:20 pm and returns on March 10th at 6 am?,You would like an economy ticket for one on a Delta Airlines flight from Vancouver to New York.,some_details_lost,0.9902,3,0,3,0,2
"You wish to make an appointment to Supercuts on March 2nd, at 10:30 am correct?","You would like to make an appointment with Supercuts on March 2nd, at 10:30 AM.",OK,0.9947,3,0,0,3,3
A good Lobster place in SF would be great.,A good Lobster place in San Francisco would be a great place.,OK,0.9982,3,0,0,3,3
"Sure! So, you wish to book a table at Hardwood Bar& Smokery in San Francisco at 11:30 am on March 1st for 2 people. Is that correct?","Yes, it is. You would like to book a table at Hardwood Bar and Smokery in San Francisco on March 1st. Is this correct?",some_details_lost,0.9546,3,0,3,0,2
"Sure, no problem. I found a 5 star hotel, 45 Park Lane has a great review.","Yes, there is no problem. I found a five star hotel at 45 Park Lane, which has a great review.",OK,0.9976,3,0,0,3,3
I like to list to the song Alone with you by Jake Owen on my Kitchen device now. Can you play it for me?,"I like to list the song""Alone With You"" by Jake Owen on my kitchen device. Is it possible for me to play it?",OK,0.9976,3,0,0,3,3
Search turned up 1 song with your preferences. Do you like Raging by Kygo on the Cloud Nine album?,Search for one song that matches your preferences. Do you like Raging by Kygo?,some_details_lost,0.9607,12,1,2,0,1.666666667
Sorry. I am unable to book ticket for you. It will leave at 6:30 pm. The cost of the ticket is$37.,Sorry :) I can't book a ticket for you. it'll leave at 6:30 pm. the ticket costs$37,OK,0.9741,3,0,0,3,3
I'm leaving from Los Angeles to Atlanta and returning on March 13th.,i'm going from los angeles to atlanta and coming back on march 13,OK,0.951,12,0,1,2,2.666666667
"Sure, first confirm that you'd like to visit Country Club Apartments on March 8th.","yea, first tell me that you want to go to country club apartments on march 8th.",OK,0.9659,3,0,0,3,3
Can you help me find a sports event in SF for the 4th of this month?,Can you help me find a sports event in San Francisco on the 4th of this month?,OK,0.9659,3,0,0,3,3
Do you wish to have a ride in the bus leaving at 7 am for they have Economy extra tickets and the ticket price will amount to $58.,Do you want to have a ride in the bus leaving at 7 am?,some_details_lost,0.9718,3,0,3,0,2
"It costs$210 for a night. It is located at 824 New Hampshire Avenue Northwest, Washington, District of Columbia 20037, United States.","it costs$210 for a night 824 New Hampshire Avenue NW Washington, D.C. 20037, US",OK,1,3,0,0,3,3
"Perfect, but I wonder if I can afford it? Can you tell me how much money I have in my account?",perfect but i wonder if i can afford it. how much money i have in my account?,OK,1,13,0,1,3,2.75
In or around NY,It is in or around New York.,OK,0.9999,3,0,0,3,3
I'm leaving from LA to Philadelphia and returning on March 14th.,I am leaving from Los Angeles to Philadelphia on March 14th.,different,0.9999,12,1,2,0,1.666666667
That is great. I want to to at evening 4 on March 5th.,That is wonderful. I would like to go on a date on March 5th.,different,0.9983,12,1,2,0,1.666666667
"Yep, adding property visit to your calendar for March 7th at 5 pm, located at 24955 Cypress Avenue.","Yes, add property to your calendar on March 7th at 5pm.",some_details_lost,0.9775,3,0,3,0,2
"I want to see the Drums in Phoenix, AZ.","I would like to see the drums in Phoenix, Arizona.",OK,0.9999,3,0,0,3,3
"Out of the 9 events matching your criteria that I've found, I'd recommend going to the Rogers Centre for the Blue Jays Vs Astros.","Out of the nine events that I have found, I would recommend going to the Roger's Centre for the Blue Jays versus the Astros.",OK,0.9999,3,0,0,3,3
I'll need it from the 11th until the 14th of this month and I want to do a pick up around one in the afternoon.,"I will need it from the eleventh until the fourteenth of this month, and I want to pick up around one in the afternoon.",OK,0.9999,3,0,0,3,3
Can you find a flight from the 2nd of this month till March 10th with Southwest Airlines?,Can you find a flight from the second of this month until March 10th?,some_details_lost,0.9726,3,0,3,0,2
I am departing from San Fran on the 3rd of this month.,i'm going out from san francisco on the 3rd of this month.,OK,0.9999,3,0,0,3,3
450 East El Camino Real. 4.1 rating.,The address is 450 East El Camino Real. The rating is 4.1.,OK,0.9999,12,0,1,2,2.666666667
"Great, thank you. We are traveling to Portland on the 7th of this month, and we will be leaving from CDMX. If possible I prefer to travel in Premium Economy.",Great thanks:) we're going to Portland on the 7th of this month and we'll be leaving from cdmx if possible I prefer to go in Premium Economy,OK,0.9999,3,0,0,3,3
I'm going from NY to San Francisco and leaving on Saturday this week. Any ticket in Economy class is fine.,I am going from New York to San Francisco on Saturday this week and will leave. Any ticket in Economy Class is fine.,OK,0.9692,13,0,1,3,2.75
I need 1 ticket for a bus to SD.,I need one ticket for a bus to South Dakota.,OK,0.9999,3,0,0,3,3
"My search brought up 5 flights that might appeal to you. How about the Alaska Airlines flight? It leaves at 10:10 am, has 0 stops, and a ticket for which costs $150.",My search resulted five flights that might appeal to you. What about the Alaska Airlines flight? It leaves at 10:10 o'clock and has no stops.,some_details_lost,0.9656,3,0,3,0,2
Can you make it for Tuesday next week. I would like it be for 3:30 pm.,can you make it for thursday next week? I'd like it for 3:30 pm.,OK,1,13,1,0,3,2.5
Let's confirm the details: You are making a reservation for 2 people at Limon Rotisserie Walnut Creek located in Walnut Creek on March 1st at 1 pm.,Let us confirm the details: You are making a reservation for two people at Limon Rotisserie Walnut Creek on March 1st at 1 PM.,OK,1,3,0,0,3,3
"Sure, there are 1 suitable United Airlines flight with 0 layovers which departs and 3:05 pm and will cost you $114.",sure there are 1 good united airlines flight with 0 layovers departing and 3:05 pm.,some_details_lost,0.9808,3,0,3,0,2
Can you call it Visit to doctor and set it for the morning 11:45.,Can you call it? Visit the doctor and set it for the morning at 11:00 p.m.,some_details_lost,0.9969,3,0,3,0,2
Can you please confirm that you want to watch The Man Who Knew Too much without subtitles?,You want to watch The Man Who Knew Too Much Without subtitles.,OK,0.9953,3,0,0,3,3
Can i know the contact number and street address?,can i know the phone number and street address?,OK,0.998,3,0,0,3,3
"I would like to stay at Courtyard By Marriott Portland Airport hotel in Portland, OR, and I will go there in 8th of this month.","I would like to stay at Courtyard By Marriott Portland Airport in Portland, Oregon on the eighth of this month.",OK,0.9728,3,0,0,3,3
Please get me a car for there. I will pick up on March 6th at 3 in the afternoon and keep till March 13th,"Please provide me with a car for that purpose. I will pick up on March 6th at 3 in the afternoon, and then march 13th.",OK,0.9659,3,0,0,3,3
I would be traveling from SFO via economy class.,I would be traveling from San Francisco via Economy Class.,OK,0.9997,2,0,0,2,3
"I have confirmed your reservation. It is at 261 Driggs Avenue, Brooklyn. Enjoy!",I have confirmed that you have made a reservation. It is located at 261 Driggs Avenue in Brooklyn. I wish you the best of luck.,OK,0.9935,2,0,0,2,3
"Yeah, can you check bus options to get there? I usually get flexible tickets, and I need them for two people the day after tomorrow.","Yes, can you check bus options for getting there? I usually get flexible tickets for two people the day after tomorrow.",OK,0.9886,13,0,1,3,2.75
I want to stay at Hotel Novotel London Paddington in London until the 11th.,I would like to stay at Hotel Novotel London Paddington until the eleventh.,OK,0.9995,3,0,0,3,3
I'm leaving NY soon/ Can you find a round trip for three people?,"I am leaving New York soon, can you find a round trip for three people?",OK,0.9967,3,0,0,3,3
"Your requested flight leaves from McCarran International Airport, and it is expected to arrive at the destination at 1:30 pm.",u want to go to mccarron international airport and get there at 11:30 pm,some_details_lost,0.9774,12,1,2,0,1.666666667
You have a Dentist appointment at 10:30 am on the 5th.,You have a dental appointment on the 5th.,some_details_lost,0.999,3,0,3,0,2
I would like to make the appointment for half past 6 in the evening on the 4th of March.,i wanna make it for half past 6 on the 4th of march.,OK,0.9539,12,0,1,2,2.666666667
I've arranged your ride and it's on the way,"I have arranged your ride, and it is on the way.",OK,0.9949,3,0,0,3,3
"I'm part of a group of 3 that, starting on the 9th of this month, will be traveling from New York City to Philly.",I'm part of a group of 3 starting on the 9th of this month from New York City to Philly,OK,0.9893,12,1,0,2,2.333333333
Sounds good to me. Can you make a reservation there for me? I'd like it to be from this Saturday until Wednesday next week.,That sounds good. Could you make a reservation there for me? I would like it to be on Saturday until next week.,some_details_lost,0.9999,3,0,3,0,2
Please confirm: a 7:30 pm reservation for 1 person.,Please confirm a reservation for one person at 7:30 pm.,OK,0.9915,3,0,0,3,3
I would prefer fantasy movies shown in Campbell.,i'd prefer fantasy movies in cambell,OK,0.9969,3,0,0,3,3
Please confirm to book 1 room at Ac Hotel By Marriott Chicago Downtown in Chicago from March 4th to March 8th.,ac hotel by martin chicago downtown from march 4-8.,different,0.9999,12,1,2,0,1.666666667
please confirm your booking for 1 room 1 day with 1 hotel brooklyn bridge in new york on march 12th,1 room 1 day with one hotel brooklyn bridge in new york on march 12,some_details_lost,0.9971,3,0,3,0,2
Could you look for Premium Economy class tickets from Vancouver? I want to start traveling on the 5th.,can you look for premium economy class tickets from vegas? i want to start traveling on the 5th,some_details_lost,0.9971,3,0,3,0,2
"That's find, I prefer the quiet.",thats what i like the quiet.,OK,0.9998,3,0,0,3,3
I am departing San Fran on March 3rd and heading to SD.,i'm leaving san francisco on march 3rd and going to SD.,OK,0.9999,12,0,1,2,2.666666667
I have located 8 events. A very popular one is Giants Vs Brewers. Its coming up on March 5th at 7 pm at Oracle Park. Any interest ?,I have found eight events. The most popular song is Giants Vs Brewers. It is coming up on March 5th at 7 PM at Oracle Park. Do you have any interest?,different,0.9999,12,0,2,1,2.333333333
Searching for Sugar Man is one I've really been wanting to see for a while. That sounds good.,I've been wanting to see Sugar Man for a while now. that sounds like a good song.,OK,0.9987,12,0,2,1,2.333333333
"Sure, what date do you need it? Where will you collect it?",sure what date do u need it? where will u collect it?,OK,0.9999,3,0,0,3,3
Please confirm you want me to add the event titled Movie show at 2:15 pm on March 1st at 6000 Bollinger Canyon Road Suite 2300.,"Please confirm that you would like me to add the event titled""Momo Show"" on March 1st at 2500 Bollinger Canyon Road Suite 2300.",different,0.9999,12,1,2,0,1.666666667
"Almaden Garden Apartments is a very good property that has 1 bed rooms and 1 baths, costing around $1,850 per month. It is located at 947 Branham Lane# C.",1 bed rooms and 1 bath. 947 branham lane# C,different,0.9997,12,1,2,0,1.666666667
"Okay then, have a nice day.",I wish you a nice day.,OK,0.9999,12,0,1,2,2.666666667
"So you would like to book 1 room at the Amsterdam Hostel San Francisco located in San Francisco, for 4 nights, beginning on March 8th, is that correct?",You would like to book one room at the Amsterdam Hostel in San Francisco on March 8th.,some_details_lost,0.9999,3,0,3,0,2
"Please make sure the ticket is refundable and I'm leaving on the 6th of this month from Atlanta to Seattle, WA.","make sure the ticket is refundable and I'm going to Seattle, WA on the 6th of this month",some_details_lost,0.9999,3,0,3,0,2
"Can you confirm the accuracy, please? You said the flight is from Atlanta, the flight heads straight to San Francisco, the airlines is Southwest Airlines, the date of departure is the day after tomorrow, the date of return is March 14th, the flight leaves at 1:45 pm, the return flights departs at 1:30 pm, your seating class is Economy, and the number of passengers who are going is 1.","Please confirm the accuracy. You said that the flight is from Atlanta, the flight heads straight to San Francisco, and the return flight leaves at 1:45 pm. The number of passengers who are going is one.",some_details_lost,0.9999,13,1,3,0,1.75
Yeah that's right.,That is correct.,OK,0.993,3,0,0,3,3
"Congrats, you reservation is successful, Enjoy it, The event venue is located at CenturyLink Field and the event begins at 7:30 pm.","congrats u get it, enjoy it, the event is at centurylink field and its starts at 7pm.",OK,0.9594,12,0,1,2,2.666666667
please check and review the following details. Book a table at china delight in city san jose and the reservation is at 7 pm for 1 people on date March 1st.,"Please check and review the following information. Book a table at china delight in city San Jose, and the reservation will be at 7 pm on March 1st.",some_details_lost,0.9671,3,0,3,0,2
"8591, arakashan road, opp new delhi railway station, new delhi and their phone is+91 11 4122 5666","The phone number is 8591, Arakashan Road, and the phone number is+91 11 4122 5666.",different,0.9999,12,1,2,0,1.666666667
"OK, confirming your 1 day stay for 1 on March 5th at the 1 Hotel Brooklyn Bridge in New York?","ok, you stay for 1 on march 5th at the 1 Hotel Brooklyn Bridge in New York.",OK,0.9999,12,0,1,2,2.666666667
So you will be leaving from Anaheim and travelling to Sacramento tomorrow at 6:40 am for 1 person. Is that correct?,You will be leaving from Anaheim tomorrow at 6:40 am for one person. Is this correct?,some_details_lost,0.9999,12,0,2,1,2.333333333
"Great, your appointment has been scheduled","Great, your appointment has been set.",OK,0.9999,3,0,0,3,3
"There are 10 houses which match what you want. A good house I can suggest which has a rating of 4.2, can be found at 1003 Coast Boulevard, La Jolla, California 92037, United States.",10 houses that match what you want. 1003 coast boulevard la jolla california 92037 usa,OK,0.9999,12,1,0,2,2.333333333
Please confirm these details: scheduling of a visit in Park View Apartments on March 14th.,check out park view apartments on jan 14,some_details_lost,0.9999,12,1,2,0,1.666666667
Find me movies showing around Brentwood.,find me movies around britonwood.,OK,0.9999,3,0,0,3,3
I'm looking for something to do. Preferably a rock event in New York. I need something on March 14th.,I am searching for something to do. I would prefer a rock event in New York. I need something on March fourteenth.,OK,0.9999,3,0,0,3,3
"My siblings will be joining me, so I will need a total of three tickets.",my siblings will be joining me so i'll need 3 tickets total.,OK,0.9999,3,0,0,3,3
"On Monday next week I plan to depart LA for Portland, OR. Just one person on trip.","On monday next week i'm going to Portland, OR. just one person on a trip.",some_details_lost,0.9826,3,0,3,0,2
I found a Delta airlines flight that leaves at 3:35 pm with 1 stop. It costs$351.,i found a delta airlines flight that leaves at 3:35 pm with 1 stop it costs$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$,some_details_lost,0.9607,12,1,2,0,1.666666667
"That's not right, because I want to go to the salon Tuesday next week.","Thats not right, I want to go to the salon next week.",some_details_lost,0.9967,3,0,3,0,2
Can you tell me the location of the event you want to do and at what time will it happen? Do you have a specific name which you want to use for the event?,can u tell me where you wanna do it and when will it happen? do you have a specific name for that thing?,OK,0.9802,12,1,0,2,2.333333333
Have a good time listening to the song. The song is from the album called Fight Song.,Have fun listening to the song. it's from the fight song,different,0.9999,12,0,2,1,2.333333333
There is 1 suitable flight which a United Airlines flight. The departure time for the outbound flight is 6:05 am with 1 stop and the ticket is priced at $292.,"There is only one suitable flight, United Airlines. The departure time for the outbound flight is 6:05 am with one stop and the ticket is$292.",OK,0.9934,3,0,0,3,3
The city of departure is New York,New York is the city of departure.,OK,0.9999,3,0,0,3,3
"Yup, I would prefer this doctor. I wish to schedule an appointment. Please can you check if he has any free slot at afternoon 3:15?","Yes, I would prefer this physician. I would like to schedule an appointment. Please check if he has any free slots at noon.",some_details_lost,0.9562,3,0,3,0,2
"I found 2 attractions that may interest you. You should check out the Sacramento Zoo, it is a Nature Preserve.",i found 2 interesting things that might interest you. check out the california zoo it's a nature preserve,OK,0.9981,3,0,0,3,3
"Okay, so you'll be picking up a Standard car from JFK International Airport next Wednesday at 10:30 am. You'll be dropping it off next Thursday. Is that all correct?",ok so you'll be picking up a standard car from jfk international airport next week at 10:30 you'll be dropping it off next week. is that all right?,some_details_lost,0.9999,3,0,3,0,2
"The 1 song that I found is titled Blue Skies by Lenka, from the album The Bright Side. Does that sound like what you are looking for?","The first song I found is titled""Blue Skies"" by Lenka from the album,""The Bright Side."" Does that sound similar to what you are looking for?",OK,0.996,3,0,0,3,3
Can I push the play button then?,Can I press the play button?,OK,0.9999,3,0,0,3,3
Ok. Could you find me some Country songs? Maybe by Jason Aldean from the album Rearview Town.,"ok, can you find some country songs? maybe by jason aldean from rearview town",OK,0.9999,3,0,0,3,3
I'll do an appointment on the 1st of this month at morning 10.,I will do an appointment on the 1st of this month at 10:00 AM.,OK,1,3,0,0,3,3
"I need to find a rental car, which I will pick up around 1 in the afternoon from San Jose, and I will need it till 9th of this month.",I need to find a rental car that I will pick up around one in the afternoon from San Jose and then I will need it until the ninth of this month.,OK,0.9999,3,0,0,3,3
"Not now. I'd rather look up some pop songs. I love Conan Gray and his album Sunset Season, so can you get me something from there?","Not at this time. I would rather find some pop songs. I love Conan Gray's album Sunset Season, so can you get something from there?",OK,0.9994,3,0,0,3,3
"Can you play me a song? It's called Business Dinners, and I want to hear it on the kitchen device",Could you play me a song? I want to hear it on the kitchen device.,some_details_lost,0.9994,3,0,3,0,2
The name of the station you depart from is called Intercity Terminal.,The name of the station from which you depart is Intercity Terminal.,OK,0.9999,3,0,0,3,3
Thank you for helping. I would like to find a one way flight to Los Angeles.,Thank you for providing assistance. I would like to find a single way flight to Los Angeles.,OK,0.9996,3,0,0,3,3
"Alright, so you are wanting a bus ride for 4 people leaving at 7:45 am on March 5th, traveling from Anaheim to Sacramento, correct?","ok so you want a bus ride for 4 people leaving at 7:45am on march 5th, from anaheim to california.",OK,0.9735,12,0,1,2,2.666666667
"What type, a General Practitioner, Gynecologist or something else and where are you located?",What type of doctor are you looking for?,some_details_lost,0.9971,12,1,2,0,1.666666667
Average temperature: 94 degrees Fahrenheit. Chance of rain: 4 percent,The average temperature is approximately 94 degrees Fahrenheit. The chance of rain is four percent.,OK,0.9999,3,0,0,3,3
"How many seats will you need going to Sonoma Ave, # 44, 1820 Doctors Park Drive?","Sonoma Ave, 44, 1820 Doctors Park Drive.",some_details_lost,0.9701,12,1,2,0,1.666666667
I'd like to leave on the 9th of this month from Los Angeles. and get back on the 13th.,I would like to leave on the ninth of this month from Los Angeles. Get back on the thirteenth.,OK,0.9999,3,0,0,3,3
The weather shows an average temperature of 73 degrees Fahrenheit with a 51 percent chance of rain.,73 degrees Fahrenheit with a 50 percent chance of rain.,different,0.9999,12,1,2,0,1.666666667
"yes, that's right. What is their number?",yea thats right what is there number?,OK,0.9999,3,0,0,3,3
Please confirm: Getting a Luxury ride cab for 3 people to go to Stanley Park.,Please confirm that you would like to get a luxury ride cab for three people to go to Stanley Park.,OK,0.9999,3,0,0,3,3
To verify: You would like a reservation for 2 at China Delight in San Jose at 5:30 pm on March 1st.,"To verify, you would like a reservation for two at China Delight in San Jose on March 1st.",some_details_lost,0.9999,3,0,3,0,2
